100
99,57
99,14
98,72
98,29
97,86
97,43
97
96,58
96,15
95,72
95,29
94,86
94,43
94
93,57
93,14
92,71
92,28
91,85
91,42
90,99
90,56
90,13
89,7
89,27
88,84
88,41
87,98
87,55
87,11
86,68
86,25
85,82
85,39
84,95
84,52
84,09
83,66
83,22
82,79
82,36
81,93
81,49
81,06
80,63
80,19
79,76
79,32
78,89
78,46
78,02
77,59
77,15
76,72
76,28
75,85
75,41
74,97
74,54
74,1
73,67
73,23
72,79
72,36
71,92
71,48
71,05
70,61
70,17
69,74
69,3
68,86
68,42
67,98
67,55
67,11
66,67
66,23
65,79
65,35
64,91
64,47
64,03
63,59
63,15
62,71
62,27
61,83
61,39
60,95
60,51
60,07
59,63
59,19
58,75
58,3
57,86
57,42
56,98
56,54
56,09
55,65
55,21
54,76
54,32
53,88
53,43
52,99
52,55
52,1
51,66
51,21
50,77
50,32
49,88
49,43
48,99
48,54
48,1
47,65
47,2
46,76
46,31
45,86
45,42
44,97
44,52
44,07
43,63
43,18
42,73
42,28
41,83
41,38
40,94
40,49
40,04
39,59
39,14
38,69
38,24
37,79
37,34
36,89
36,44
35,99
35,53
35,08
34,63
34,18
33,73
33,27
32,82
32,37
31,92
31,46
31,01
30,56
30,1
29,65
29,2
28,74
28,29
27,83
27,38
26,92
26,47
26,01
25,56
25,1
24,64
24,19
23,73
23,27
22,82
22,36
21,9
21,44
20,99
20,53









