100
100,4
100,79
101,19
101,59
101,98
102,38
102,78
103,17
103,57
103,96
104,36
104,75
105,15
105,55
105,94
106,34
106,73
107,13
107,52
107,91
108,31
108,7
109,1
109,49
109,89
110,28
110,67
111,07
111,46
111,85
112,25
112,64
113,03
113,43
113,82
114,21
114,61
115
115,39
115,78
116,17
116,57
116,96
117,35
117,74
118,13
118,53
118,92
119,31
119,7
120,09
120,48
120,87
121,26
121,65
122,04
122,43
122,82
123,21
123,6
123,99
124,38
124,77
125,16
125,55
125,94
126,33
126,72
127,11
127,5
127,89
128,27
128,66
129,05
129,44
129,83
130,21
130,6
130,99
131,38
131,77
132,15
132,54
132,93
133,31
133,7
134,09
134,47
134,86
135,25
135,63
136,02
136,41
136,79
137,18
137,56
137,95
138,34
138,72
139,11
139,49
139,88
140,26
140,65
141,03
141,42
141,8
142,18
142,57
142,95
143,34
143,72
144,1
144,49
144,87
145,25
145,64
146,02
146,4
146,79
147,17
147,55
147,94
148,32
148,7
149,08
149,46
149,85
150,23
150,61
150,99
151,37
151,75
152,14
152,52
152,9
153,28
153,66
154,04
154,42
154,8
155,18
155,56
155,94
156,32
156,7
157,08
157,46
157,84
158,22
158,6
158,98
159,36
159,74
160,12
160,49
160,87
161,25
161,63
162,01
162,39
162,76
163,14
163,52
163,9
164,28
164,65
165,03
165,41
165,78
166,16
166,54
166,92
167,29
167,67
168,05
168,42
168,8
169,17
169,55
169,93
170,3
170,68
171,05
171,43
171,8
172,18
172,55
172,93
173,3
173,68
174,05
174,43
174,8
175,17
175,55
175,92
176,3
176,67
177,04
177,42
177,79
178,16
178,54
178,91
179,28
179,66
180,03
180,4
180,77
181,15
181,52
181,89
182,26
182,63
183,01
183,38
183,75
184,12
184,49
184,86
185,23
185,6
185,97
186,35
186,72
187,09
187,46
187,83
188,2
188,57
188,94
189,31
189,68
190,05
190,42
190,78
191,15
191,52
191,89
192,26
192,63
193
193,37
193,73
194,1
194,47
194,84
195,21
195,57
195,94
196,31
196,68
197,04
197,41
197,78
198,15
198,51
198,88
199,25
199,61
199,98
200,34
200,71
201,08
201,44
201,81
202,17
202,54
202,9
203,27
203,64
204
204,37
204,73
205,09
205,46
205,82
206,19
206,55
206,92
207,28
207,64
208,01
208,37
208,74
209,1
209,46
209,83
210,19
210,55
210,91
211,28
211,64
212
212,36
212,73
213,09
213,45
213,81
214,17
214,54
214,9
215,26
215,62
215,98
216,34
216,7
217,07
217,43
217,79
218,15
218,51
218,87
219,23
219,59
219,95
220,31
220,67
221,03
221,39
221,75
222,1
222,46
222,82
223,18
223,54
223,9
224,26
224,62
224,97
225,33
225,69
226,05
226,41
226,76
227,12
227,48
227,84
228,19
228,55
228,91
229,26
229,62
229,98
230,33
230,69
231,05
231,4
231,76
232,12
232,47
232,83
